Tripid,Dateid,Stationid,Truckid,Wastecollected
51009,91,19,233,38.3
51010,91,19,238,34.49
51011,91,19,232,41.71
51012,91,19,230,31.08
51013,91,21,244,44.28
51014,91,19,238,44.28
51015,91,21,245,34.67
51016,91,83,217,32.9
51017,91,21,240,43.28
51018,91,19,238,41.3
51019,91,19,230,38.59
51020,91,21,246,39.91
51021,91,19,232,33.49
51022,91,19,230,43.09
51023,91,21,244,34.99
51024,91,21,246,36.13
51025,91,83,217,33.73
51026,91,19,233,33.83
51027,91,83,229,39.17
51028,91,83,229,32.07
51029,91,19,233,41.6
51030,91,83,217,32.65
51031,91,21,240,39.81
51032,91,21,240,30.01
51033,91,21,246,37.28
51034,91,21,245,40.47
51035,91,19,232,37.07
51036,91,83,229,44.72
51037,91,83,217,33.25
51038,91,21,246,40.36
51039,91,21,246,38.96
51040,91,19,230,44.33
51041,91,83,229,33.6
51042,91,21,245,36.52
51043,91,19,232,35.01
51044,91,83,217,39.13
51045,91,83,229,44.29
51046,91,83,217,44.11
51047,91,19,233,42.74
51048,91,83,229,30.0
51049,91,21,246,37.44
51050,91,83,229,39.7
51051,91,21,245,37.75
51052,91,83,217,42.56
51053,91,21,245,33.92
51054,91,83,217,37.28
51055,91,19,233,31.37
51056,91,21,244,36.26
51057,91,19,230,44.39
51058,91,83,217,35.7
51059,91,21,245,30.56
51060,91,83,217,32.86
51061,91,83,217,38.51
51062,91,19,230,36.93
51063,91,86,252,30.44
51064,91,86,255,34.52
51065,91,44,299,43.66
51066,91,31,283,44.43
51067,91,57,274,38.81
51068,91,86,257,33.51
51069,91,86,255,44.46
51070,91,44,297,38.31
51071,91,84,265,38.78
51072,91,32,288,35.26
51073,91,84,265,41.84
51074,91,44,297,32.29
51075,91,44,297,37.64
51076,91,44,297,39.9
51077,91,84,265,30.31
51078,91,44,299,41.26
51079,91,84,262,32.2
51080,91,32,291,32.26
51081,91,57,270,32.12
51082,91,86,251,40.18
51083,91,32,288,36.65
51084,91,32,286,34.9
51085,91,86,257,30.4
51086,91,44,299,31.21
51087,91,44,297,36.89
51088,91,31,277,33.02
51089,91,57,274,30.8
51090,91,31,277,36.28
51091,91,84,266,35.03
51092,91,44,298,41.62
51093,91,32,290,41.6
51094,91,44,298,37.01
51095,91,44,297,44.87
51096,91,44,301,34.43
51097,91,84,261,34.77
51098,91,84,262,36.56
51099,91,44,299,42.81
51100,91,44,301,42.83
51101,91,84,266,38.86
51102,91,32,291,30.66
51103,91,32,286,41.55
51104,91,32,290,43.11
51105,91,57,270,38.33
51106,91,32,290,42.19
51107,91,44,299,39.52
51108,91,31,276,36.34
51109,91,44,299,35.15
51110,91,84,261,39.78
51111,91,84,266,34.75
51112,91,57,275,38.55
51113,91,44,299,32.7
51114,91,84,265,31.48
51115,91,31,277,37.27
51116,91,31,283,38.14
51117,91,32,290,38.11
51118,91,84,261,43.02
51119,91,57,270,31.11
51120,91,32,288,34.31
51121,91,31,280,32.62
51122,91,57,270,40.21
51123,91,86,252,32.53
51124,91,31,283,39.87
51125,91,31,277,33.95
51126,91,31,276,42.54
51127,91,84,266,38.93
51128,91,57,270,31.99
51129,91,31,277,39.99
51130,91,31,280,36.32
51131,91,32,288,37.05
51132,91,32,291,32.24
51133,91,57,272,35.33
51134,91,86,252,43.02
51135,91,32,290,37.31
51136,91,32,291,30.02
51137,91,86,255,39.49
51138,91,86,255,38.85
51139,92,77,152,40.45
51140,92,43,143,43.2
51141,92,77,152,39.21
51142,92,71,126,44.23
51143,92,97,120,40.77
51144,92,43,144,40.42
51145,92,40,135,37.01
51146,92,43,145,33.53
51147,92,43,144,38.3
51148,92,40,135,40.47
51149,92,97,120,31.44
51150,92,77,157,31.13
51151,92,71,130,37.42
51152,92,77,160,37.58
51153,92,77,160,43.03
51154,92,97,120,43.26
51155,92,46,168,38.76
51156,92,97,121,42.81
51157,92,97,121,31.27
51158,92,97,122,33.79
51159,92,46,162,43.99
51160,92,40,135,42.65
51161,92,71,125,40.42
51162,92,46,161,36.66
51163,92,40,136,42.44
51164,92,77,160,44.83
51165,92,77,157,39.75
51166,92,71,133,30.7
51167,92,71,130,37.67
51168,92,97,115,37.67
51169,92,46,168,36.55
51170,92,43,145,44.64
51171,92,97,121,43.31
51172,92,43,144,35.89
51173,92,43,145,31.5
51174,92,77,152,40.65
51175,92,71,125,40.44
51176,92,43,144,42.28
51177,92,40,137,42.58
51178,92,40,137,34.15
51179,92,43,148,42.33
51180,92,97,122,43.31
51181,92,40,135,38.95
51182,92,77,157,30.89
51183,92,77,160,39.59
51184,92,46,169,33.33
51185,92,43,145,40.46
51186,92,46,161,32.57
51187,92,97,122,30.83
51188,92,46,168,40.8
51189,92,40,134,39.09
51190,92,97,121,35.47
51191,92,40,136,37.78
51192,92,71,133,41.12
51193,92,40,137,38.37
51194,92,71,133,37.17
51195,92,77,152,44.15
51196,92,71,130,36.59
51197,92,43,143,39.91
51198,92,97,120,32.36
51199,92,77,150,40.13
51200,92,71,126,39.85
51201,92,77,150,32.99
51202,92,77,152,40.68
51203,92,43,143,39.77
51204,92,43,145,43.59
51205,92,71,126,39.79
51206,92,71,130,40.77
51207,92,97,121,35.7
51208,92,43,143,41.84
51209,92,43,144,33.15
51210,92,77,157,44.69
51211,92,46,162,42.76
51212,92,46,161,42.21
51213,92,71,126,37.64
51214,92,77,152,40.39
51215,92,81,191,31.81
51216,92,47,178,36.41
51217,92,47,178,30.1
51218,92,47,170,38.64
51219,92,48,182,33.01
51220,92,48,182,33.97
51221,92,81,192,39.61
51222,92,81,191,31.95
51223,92,82,213,40.63
51224,92,47,170,34.8
51225,92,48,184,44.16
51226,92,82,211,31.19
51227,92,81,198,37.94
51228,92,81,191,38.44
51229,92,47,170,31.32
51230,92,81,192,32.05
51231,92,82,213,36.1
51232,92,47,178,44.74
51233,92,47,170,39.37
51234,92,81,192,41.25
51235,92,47,170,35.99
51236,92,82,213,35.88
51237,92,82,211,30.61
51238,92,48,189,35.1
51239,92,82,213,41.91
51240,92,81,191,31.85
51241,92,48,188,44.73
51242,92,81,194,34.71
51243,92,48,189,36.85
51244,92,81,194,37.63
51245,92,82,211,34.61
51246,92,81,191,43.53
51247,92,81,192,32.99
51248,92,48,188,37.6
51249,92,81,191,41.18
51250,92,47,170,43.02
51251,92,82,213,39.16
51252,92,47,170,37.81
51253,92,47,170,32.5
51254,92,48,184,34.85
51255,92,47,170,32.57
51256,92,82,211,30.03
51257,92,48,182,37.09
51258,92,81,198,41.6
51259,92,81,194,35.11
51260,92,47,170,39.18
51261,92,81,191,42.55
51262,92,81,194,41.86
51263,92,82,211,36.58
51264,92,47,170,33.23
51265,92,81,194,34.39
51266,92,81,194,39.88
51267,92,82,213,41.66
51268,92,81,194,33.32
51269,92,82,211,34.26
51270,92,81,192,35.92
51271,92,48,184,42.41
51272,92,47,179,30.25
51273,92,81,194,32.74
51274,92,47,178,32.21
51275,92,82,213,32.06
51276,92,82,211,30.12
51277,92,48,189,39.93
51278,92,47,178,36.09
51279,92,47,178,35.63
51280,92,81,198,30.52
51281,92,81,194,39.64
51282,92,81,194,33.28
51283,92,48,182,37.65
51284,92,82,211,33.64
51285,92,48,188,43.14
51286,92,82,211,44.77
51287,92,47,178,38.83
51288,92,81,198,31.1
51289,92,82,211,34.81
51290,92,47,170,40.01
51291,92,19,233,44.99
51292,92,21,246,34.77
51293,92,21,245,41.4
51294,92,21,244,35.28
51295,92,21,240,37.66
51296,92,21,246,39.61
51297,92,83,217,32.06
51298,92,21,240,32.46
51299,92,83,229,37.74
51300,92,83,217,38.09
51301,92,21,244,41.7
51302,92,21,245,37.01
51303,92,83,229,44.87
51304,92,19,230,31.82
51305,92,19,232,35.87
51306,92,83,217,43.96
51307,92,83,229,37.5
51308,92,21,245,33.76
51309,92,83,217,39.33
51310,92,19,230,34.75
51311,92,19,232,36.87
51312,92,21,244,39.64
51313,92,83,217,31.88
51314,92,19,238,43.12
51315,92,19,232,30.85
51316,92,19,232,41.96
51317,92,19,230,42.03
51318,92,19,230,32.17
51319,92,83,229,33.9
51320,92,83,229,33.94
51321,92,83,217,37.44
51322,92,19,238,40.57
51323,92,83,217,36.44
51324,92,83,229,42.7
51325,92,83,229,41.11
51326,92,21,244,43.6
51327,92,83,229,41.32
51328,92,19,238,38.28
51329,92,19,232,33.64
51330,92,83,229,31.28
51331,92,19,238,32.33
51332,92,21,240,41.23
51333,92,83,229,34.33
51334,92,83,229,42.53
51335,92,21,244,36.1
51336,92,83,217,30.91
51337,92,21,246,32.65
51338,92,21,245,40.86
51339,92,19,233,34.39
51340,92,19,233,33.83
51341,92,83,217,41.15
51342,92,21,240,34.61
51343,92,83,217,44.52
51344,92,21,246,31.0
51345,92,83,229,40.34
51346,92,83,229,35.38
51347,92,83,217,43.23
51348,92,21,245,44.25
51349,92,19,232,42.85
51350,92,21,240,39.19
51351,92,83,229,32.61
51352,92,21,246,34.86
51353,92,21,244,34.2
51354,92,83,229,34.84
51355,92,19,238,30.54
51356,92,21,244,33.33
51357,92,21,244,40.07
51358,92,19,233,38.73
51359,92,19,232,41.92
51360,92,19,230,35.71
51361,92,21,240,30.97
51362,92,19,238,42.38
51363,92,21,246,32.97
51364,92,19,232,41.83
51365,92,83,217,36.12
51366,92,19,230,40.35
51367,92,31,277,32.86
51368,92,84,262,35.61
51369,92,84,265,35.4
51370,92,32,290,32.61
51371,92,86,257,33.29
51372,92,86,252,35.7
51373,92,86,251,30.23
51374,92,57,274,43.25
51375,92,57,275,31.16
51376,92,84,261,30.92
51377,92,86,252,34.88
51378,92,44,299,32.84
51379,92,86,257,31.84
51380,92,44,301,37.13
51381,92,31,280,38.05
51382,92,86,255,32.08
51383,92,84,262,35.37
51384,92,31,283,37.55
51385,92,57,274,44.58
51386,92,84,261,32.67
51387,92,31,280,44.47
51388,92,31,277,34.57
51389,92,57,274,32.04
51390,92,32,288,36.63
51391,92,57,274,38.96
51392,92,32,288,30.6
51393,92,84,266,40.11
51394,92,57,275,42.93
51395,92,31,276,36.46
51396,92,44,297,35.36
51397,92,57,272,43.78
51398,92,31,277,37.58
51399,92,31,283,43.79
51400,92,44,299,37.27
51401,92,57,274,38.36
51402,92,86,257,30.36
51403,92,86,257,44.85
51404,92,44,299,39.96
51405,92,57,274,35.65
51406,92,57,272,42.81
51407,92,84,261,39.27
51408,92,44,297,34.2
51409,92,86,257,34.89
51410,92,57,272,44.85
51411,92,86,255,36.43
51412,92,84,265,35.18
51413,92,32,286,33.81
51414,92,86,255,32.19
51415,92,86,255,41.69
51416,92,57,275,38.41
51417,92,57,275,38.61
51418,92,32,286,31.73
51419,92,44,299,41.08
51420,92,84,266,41.55
51421,92,57,275,43.73
51422,92,31,280,38.93
51423,92,31,280,44.79
51424,92,44,298,43.5
51425,92,32,290,33.9
51426,92,44,301,38.5
51427,92,31,283,33.72
51428,92,86,252,40.47
51429,92,31,283,32.28
51430,92,44,301,40.55
51431,92,31,276,30.22
51432,92,84,261,37.58
51433,92,86,252,44.03
51434,92,31,276,30.28
51435,92,86,252,31.87
51436,92,84,266,39.04
51437,92,57,275,41.89
51438,92,32,290,39.94
51439,92,32,286,37.36
51440,92,32,286,44.38
51441,92,44,299,38.71
51442,92,44,299,32.01
51443,93,77,157,34.15
51444,93,97,120,33.77
51445,93,43,144,39.24
51446,93,40,134,41.5
51447,93,40,134,38.59
51448,93,71,126,30.22
51449,93,77,157,36.35
51450,93,77,157,30.41
51451,93,77,150,38.37
51452,93,46,169,35.52
51453,93,97,122,36.13
51454,93,71,130,41.13
51455,93,40,137,36.69
51456,93,40,137,42.05
51457,93,43,143,39.92
51458,93,97,122,31.22
51459,93,43,145,42.49
51460,93,77,160,38.09
51461,93,40,137,37.99
51462,93,97,115,33.47
51463,93,77,157,33.54
51464,93,71,130,34.72
51465,93,43,144,32.54
51466,93,71,125,34.71
51467,93,71,126,38.17
51468,93,71,126,44.96
51469,93,71,133,34.43
51470,93,40,136,42.1
51471,93,97,121,37.75
51472,93,77,157,31.7
51473,93,77,150,41.5
51474,93,71,133,40.06
51475,93,46,161,44.74
51476,93,40,137,36.79
51477,93,46,162,32.07
51478,93,43,145,41.89
51479,93,46,169,38.67
51480,93,40,135,43.14
51481,93,43,144,36.28
51482,93,46,169,31.39
51483,93,77,157,41.5
51484,93,97,115,31.52
51485,93,77,160,39.71
51486,93,43,144,39.52
51487,93,77,157,32.78
51488,93,77,152,37.31
51489,93,97,115,36.82
51490,93,43,143,43.36
51491,93,97,121,36.11
51492,93,77,152,37.82
51493,93,77,160,32.41
51494,93,77,152,33.8
51495,93,97,122,39.95
51496,93,71,133,34.55
51497,93,71,125,37.65
51498,93,77,152,44.21
51499,93,46,169,43.72
51500,93,43,145,31.54
51501,93,40,135,33.13
51502,93,40,136,44.74
51503,93,43,143,37.95
51504,93,46,162,33.31
51505,93,97,121,43.83
51506,93,77,152,30.34
51507,93,43,145,42.97
51508,93,77,160,38.99
51509,93,43,148,41.37
51510,93,97,120,39.27
51511,93,71,130,41.33
51512,93,46,168,32.63
51513,93,97,120,40.82
51514,93,46,169,39.11
51515,93,77,152,35.91
51516,93,46,169,37.94
51517,93,43,145,33.12
51518,93,43,148,35.66
51519,93,48,182,43.14
51520,93,48,184,30.97
51521,93,47,170,30.49
51522,93,48,182,41.26
51523,93,81,194,42.51
51524,93,81,191,34.32
51525,93,47,179,40.14
51526,93,47,170,33.91
51527,93,82,211,36.45
51528,93,48,182,38.15
51529,93,81,194,31.71
51530,93,48,184,44.54
51531,93,82,211,40.02
51532,93,82,213,40.54
51533,93,48,188,32.62
51534,93,82,213,43.5
51535,93,81,198,41.86
51536,93,48,184,33.53
51537,93,48,189,42.53
51538,93,47,170,40.5
51539,93,48,189,43.14
51540,93,47,179,44.35
51541,93,48,188,39.44
51542,93,81,194,41.15
51543,93,47,179,41.03
51544,93,48,184,44.05
51545,93,48,182,38.0
51546,93,47,179,36.78
51547,93,82,213,35.55
51548,93,47,179,34.99
51549,93,48,188,31.81
51550,93,48,182,37.9
51551,93,47,178,36.69
51552,93,48,188,39.67
51553,93,82,211,41.26
51554,93,81,191,31.58
51555,93,48,188,44.41
51556,93,82,213,32.98
51557,93,81,198,38.63
51558,93,81,194,37.78
51559,93,81,198,42.26
51560,93,81,191,44.08
51561,93,47,178,41.67
51562,93,48,189,33.24
51563,93,81,194,33.25
51564,93,81,194,42.82
51565,93,82,211,40.31
51566,93,82,211,42.66
51567,93,48,182,37.38
51568,93,82,213,43.3
51569,93,47,178,39.22
51570,93,81,192,44.66
51571,93,47,178,39.51
51572,93,47,170,39.59
51573,93,81,191,33.18
51574,93,48,184,34.75
51575,93,81,192,42.52
51576,93,47,179,37.73
51577,93,48,189,32.46
51578,93,47,178,32.09
51579,93,81,192,44.5
51580,93,47,170,44.15
51581,93,48,188,36.65
51582,93,48,184,35.52
51583,93,81,192,34.68
51584,93,47,179,44.84
51585,93,81,191,36.83
51586,93,81,194,41.9
51587,93,47,179,31.35
51588,93,47,178,34.32
51589,93,48,189,33.75
51590,93,47,179,35.38
51591,93,47,170,33.56
51592,93,81,191,42.13
51593,93,82,213,44.92
51594,93,48,182,32.93
51595,93,19,232,41.64
51596,93,19,232,31.57
51597,93,21,244,32.48
51598,93,19,232,39.91
51599,93,83,217,41.65
51600,93,21,246,34.55
51601,93,21,245,31.02
51602,93,83,217,30.3
51603,93,21,246,37.28
51604,93,19,230,34.41
51605,93,19,233,42.84
51606,93,21,240,42.99
51607,93,21,245,34.96
51608,93,19,233,34.77
51609,93,21,245,32.91
51610,93,21,246,34.12
51611,93,83,217,36.39
51612,93,83,217,43.96
51613,93,19,238,34.71
51614,93,83,229,44.5
51615,93,19,232,40.72
51616,93,19,232,36.83
51617,93,19,230,39.55
51618,93,21,245,35.74
51619,93,19,232,41.28
51620,93,83,217,32.85
51621,93,83,229,33.34
51622,93,21,244,31.04
51623,93,21,246,35.86
51624,93,21,246,43.25
51625,93,83,229,43.38
51626,93,19,232,41.23
51627,93,83,217,40.4
51628,93,83,229,35.94
51629,93,19,230,36.13
51630,93,21,240,32.51
51631,93,21,244,38.54
51632,93,21,240,37.27
51633,93,83,229,41.1
51634,93,19,238,37.47
51635,93,21,245,32.68
51636,93,19,238,43.97
51637,93,83,217,35.48
51638,93,19,232,43.56
51639,93,83,229,30.83
51640,93,21,240,39.61
51641,93,21,246,40.62
51642,93,21,244,40.66
51643,93,19,238,33.6
51644,93,83,217,43.75
51645,93,83,217,33.56
51646,93,19,230,35.51
51647,93,83,217,39.04
51648,93,83,229,38.65
51649,93,19,232,31.04
51650,93,21,246,36.23
51651,93,21,244,35.8
51652,93,19,233,43.97
51653,93,83,217,44.47
51654,93,83,229,32.12
51655,93,83,229,42.88
51656,93,83,229,44.66
51657,93,83,229,30.51
51658,93,83,217,42.2
51659,93,21,244,44.74
51660,93,19,232,39.39
51661,93,83,229,34.02
51662,93,83,217,39.02
51663,93,21,244,35.84
51664,93,21,240,38.43
51665,93,21,244,30.89
51666,93,19,232,35.12
51667,93,21,246,38.96
51668,93,21,245,42.78
51669,93,19,232,39.75
51670,93,19,238,40.12
51671,93,31,280,36.04
51672,93,86,252,37.93
51673,93,57,274,38.36
51674,93,31,283,36.69
51675,93,84,261,41.77
51676,93,44,297,30.17
51677,93,31,276,40.46
51678,93,84,261,32.07
51679,93,31,276,30.7
51680,93,86,252,32.9
51681,93,32,288,35.06
51682,93,86,251,33.72
51683,93,31,276,38.02
51684,93,31,283,40.18
51685,93,84,265,38.13
51686,93,84,261,44.88
51687,93,31,277,32.69
51688,93,32,288,38.65
51689,93,44,298,43.29
51690,93,57,272,35.17
51691,93,32,290,38.27
51692,93,32,288,40.59
51693,93,86,255,43.67
51694,93,57,274,36.05
51695,93,31,276,30.89
51696,93,44,297,35.83
51697,93,44,301,36.65
51698,93,86,251,41.91
51699,93,31,276,37.39
51700,93,57,274,32.68
51701,93,31,276,38.18
51702,93,84,266,31.37
51703,93,32,290,42.01
51704,93,44,297,32.69
51705,93,44,297,35.65
51706,93,86,251,44.53
51707,93,57,274,43.72
51708,93,86,251,36.37
51709,93,57,270,44.74
51710,93,57,274,33.47
51711,93,32,288,39.4
51712,93,86,252,43.96
51713,93,84,262,33.5
51714,93,32,290,33.09
51715,93,86,252,41.71
51716,93,57,272,41.82
51717,93,32,290,32.97
51718,93,31,277,37.96
51719,93,86,252,44.23
51720,93,57,270,39.13
51721,93,32,286,34.81
51722,93,32,286,44.98
51723,93,84,266,42.31
51724,93,57,275,36.87
51725,93,57,270,31.33
51726,93,31,280,37.7
51727,93,84,266,42.92
51728,93,57,274,31.76
51729,93,84,262,33.11
51730,93,84,262,34.07
51731,93,57,270,34.2
51732,93,32,290,41.99
51733,93,32,286,44.49
51734,93,31,283,34.33
51735,93,86,255,43.46
51736,93,84,266,40.77
51737,93,86,252,33.69
51738,93,86,252,35.67
51739,93,57,272,31.79
51740,93,32,290,36.57
51741,93,31,283,39.65
51742,93,84,262,31.04
51743,93,84,262,35.16
51744,93,44,299,37.94
51745,93,31,276,42.06
51746,93,31,276,30.55
51747,94,46,162,33.68
51748,94,46,161,37.47
51749,94,97,121,39.36
51750,94,77,160,35.81
51751,94,97,121,34.37
51752,94,97,120,37.52
51753,94,46,169,36.03
51754,94,40,136,30.01
51755,94,43,148,38.45
51756,94,40,134,34.0
51757,94,43,144,33.76
51758,94,77,150,34.15
51759,94,46,161,44.53
51760,94,46,162,41.73
51761,94,46,161,31.02
51762,94,46,168,32.54
51763,94,97,120,41.42
51764,94,46,169,38.61
51765,94,77,160,30.22
51766,94,97,115,37.67
51767,94,46,169,37.74
51768,94,71,133,31.28
51769,94,77,157,35.33
51770,94,43,143,34.52
51771,94,77,160,33.8
51772,94,97,122,37.34
51773,94,43,144,37.86
51774,94,46,162,37.73
51775,94,77,160,36.14
51776,94,71,126,34.93
51777,94,97,120,41.91
51778,94,97,122,43.03
51779,94,40,136,35.93
51780,94,71,125,34.42
51781,94,97,120,38.95
51782,94,43,145,42.73
51783,94,40,134,43.62
51784,94,46,169,44.0
51785,94,71,133,42.92
51786,94,46,162,38.56
51787,94,43,144,36.5
51788,94,40,137,41.02
51789,94,97,115,42.14
51790,94,46,161,31.12
51791,94,97,121,35.33
51792,94,97,115,42.62
51793,94,46,161,41.72
51794,94,71,125,34.15
51795,94,71,125,30.67
51796,94,77,152,34.88
51797,94,40,135,30.05
51798,94,40,134,39.9
51799,94,40,137,36.18
51800,94,77,152,37.57
51801,94,77,150,36.69
51802,94,71,126,34.93
51803,94,43,148,32.08
51804,94,46,168,34.36
51805,94,77,152,30.29
51806,94,46,162,39.38
51807,94,40,135,38.63
51808,94,46,169,32.02
51809,94,40,136,40.29
51810,94,46,162,36.21
51811,94,77,150,35.64
51812,94,97,122,31.44
51813,94,43,143,41.94
51814,94,77,160,30.95
51815,94,71,125,44.67
51816,94,77,152,36.97
51817,94,46,161,42.88
51818,94,43,145,42.2
51819,94,40,136,33.26
51820,94,46,162,35.33
51821,94,97,122,35.43
51822,94,71,126,30.15
51823,94,48,189,34.95
51824,94,47,170,43.0
51825,94,47,179,35.17
51826,94,82,213,38.25
51827,94,47,179,38.66
51828,94,82,211,32.39
51829,94,47,178,30.0
51830,94,82,213,39.94
51831,94,81,192,43.45
51832,94,47,179,30.58
51833,94,81,192,30.77
51834,94,82,211,38.82
51835,94,82,213,32.54
51836,94,82,211,42.46
51837,94,82,213,42.58
51838,94,82,211,40.81
51839,94,47,178,44.55
51840,94,81,194,33.45
51841,94,81,191,32.37
51842,94,48,184,36.17
51843,94,48,188,36.57
51844,94,81,191,34.35
51845,94,82,213,42.97
51846,94,47,179,35.98
51847,94,47,179,42.75
51848,94,48,184,40.47
51849,94,82,213,32.51
51850,94,47,170,30.04
51851,94,47,178,31.88
51852,94,48,182,39.42
51853,94,48,189,33.64
51854,94,81,194,42.55
51855,94,47,179,32.65
51856,94,47,170,37.42
51857,94,48,188,42.66
51858,94,48,189,32.5
51859,94,82,211,42.07
51860,94,48,188,32.78
51861,94,47,179,41.98
51862,94,82,213,32.06
51863,94,48,189,35.24
51864,94,82,213,37.18
51865,94,81,194,33.71
51866,94,81,194,31.64
51867,94,48,188,41.31
51868,94,82,211,30.91
51869,94,81,191,42.93
51870,94,48,188,34.3
51871,94,48,184,34.33
51872,94,47,170,37.87
51873,94,47,178,32.03
51874,94,81,198,34.45
51875,94,82,213,32.58
51876,94,81,198,39.39
51877,94,81,198,32.73
51878,94,48,189,41.42
51879,94,47,170,33.73
51880,94,82,213,44.96
51881,94,48,189,31.06
51882,94,47,170,40.91
51883,94,48,184,31.26
51884,94,48,184,31.08
51885,94,48,182,36.44
51886,94,48,188,35.73
51887,94,81,191,32.32
51888,94,82,213,35.89
51889,94,47,178,42.4
51890,94,82,211,44.85
51891,94,82,213,39.73
51892,94,81,192,30.28
51893,94,48,189,31.65
51894,94,82,211,35.07
51895,94,82,213,35.14
51896,94,81,194,41.02
51897,94,81,191,39.19
51898,94,48,188,36.63
51899,94,21,244,34.85
51900,94,21,245,38.58
51901,94,83,217,43.67
51902,94,19,238,39.37
51903,94,19,233,37.95
51904,94,83,217,39.9
51905,94,21,244,42.7
51906,94,21,240,35.01
51907,94,83,229,32.75
51908,94,21,246,39.3
51909,94,19,232,44.65
51910,94,83,217,39.99
51911,94,19,233,40.03
51912,94,83,229,31.83
51913,94,19,232,36.58
51914,94,19,238,35.65
51915,94,83,217,32.43
51916,94,83,217,33.91
51917,94,83,229,30.0
51918,94,21,244,38.22
51919,94,21,245,30.47
51920,94,83,229,35.15
51921,94,19,230,41.53
51922,94,83,217,43.35
51923,94,83,229,41.03
51924,94,19,238,43.19
51925,94,83,229,35.99
51926,94,83,217,32.11
51927,94,19,232,30.23
51928,94,19,232,36.51
51929,94,83,217,39.31
51930,94,21,244,33.27
51931,94,19,238,42.65
51932,94,21,244,42.65
51933,94,21,245,40.8
51934,94,19,230,39.19
51935,94,19,238,32.83
51936,94,21,244,34.91
51937,94,19,233,37.08
51938,94,19,230,43.3
51939,94,19,233,38.67
51940,94,83,229,43.04
51941,94,19,232,31.91
51942,94,19,233,43.63
51943,94,21,245,39.3
51944,94,21,246,30.16
51945,94,21,245,30.29
51946,94,83,229,38.63
51947,94,19,232,32.04
51948,94,21,245,30.45
51949,94,21,245,30.29
51950,94,19,230,37.12
51951,94,19,232,30.31
51952,94,19,233,34.3
51953,94,83,229,32.55
51954,94,21,240,34.77
51955,94,19,232,41.6
51956,94,19,233,42.93
51957,94,83,229,39.67
51958,94,83,229,42.7
51959,94,83,229,44.56
51960,94,19,238,38.76
51961,94,21,245,35.89
51962,94,21,245,35.46
51963,94,83,229,39.41
51964,94,21,246,30.37
51965,94,21,246,30.4
51966,94,83,217,43.03
51967,94,83,217,40.37
51968,94,83,229,30.87
51969,94,21,240,37.76
51970,94,19,230,30.36
51971,94,21,245,36.34
51972,94,21,246,36.94
51973,94,19,233,44.47
51974,94,83,229,44.87
51975,94,31,283,40.13
51976,94,84,265,33.76
51977,94,84,266,30.12
51978,94,84,261,43.85
51979,94,44,297,43.91
51980,94,86,251,36.69
51981,94,44,297,36.5
51982,94,86,251,39.78
51983,94,57,274,42.97
51984,94,57,272,34.35
51985,94,31,280,34.58
51986,94,84,265,35.83
51987,94,86,252,39.51
51988,94,84,266,31.21
51989,94,86,255,43.1
51990,94,86,255,44.9
51991,94,44,299,41.38
51992,94,57,275,36.86
51993,94,86,255,39.17
51994,94,31,277,44.62
51995,94,44,298,34.98
51996,94,84,265,40.56
51997,94,86,251,39.75
51998,94,57,272,42.11
51999,94,31,280,31.47
52000,94,44,298,33.65
52001,94,31,283,33.04
52002,94,31,280,37.96
52003,94,32,291,35.05
52004,94,86,257,38.55
52005,94,86,255,44.41
52006,94,84,261,40.7
52007,94,84,261,34.86
52008,94,31,276,41.42
52009,94,84,261,30.81
52010,94,44,297,31.97
52011,94,31,276,37.02
52012,94,32,291,44.28
52013,94,31,283,34.45
52014,94,57,274,41.18
52015,94,86,252,39.83
52016,94,86,252,36.52
52017,94,86,257,34.97
52018,94,57,272,44.43
52019,94,31,276,31.3
52020,94,32,288,34.57
52021,94,31,280,37.94
52022,94,84,261,31.47
52023,94,32,286,39.35
52024,94,31,283,42.26
52025,94,86,252,34.03
52026,94,86,255,42.86
52027,94,44,299,38.85
52028,94,57,270,30.62
52029,94,32,288,38.54
52030,94,84,262,34.47
52031,94,86,251,34.61
52032,94,31,280,39.79
52033,94,84,261,30.61
52034,94,84,261,36.45
52035,94,86,257,32.68
52036,94,32,290,37.5
52037,94,86,251,44.99
52038,94,44,299,31.41
52039,94,57,270,30.37
52040,94,32,291,40.52
52041,94,57,272,34.33
52042,94,84,265,32.85
52043,94,31,283,38.2
52044,94,44,297,38.48
52045,94,86,255,41.37
52046,94,32,291,35.66
52047,94,31,283,35.05
52048,94,84,266,39.57
52049,94,57,272,36.87
52050,94,31,280,39.26
52051,95,71,133,36.46
52052,95,97,122,38.94
52053,95,46,162,42.02
52054,95,40,134,36.52
52055,95,43,144,31.53
52056,95,46,168,36.94
52057,95,77,160,31.59
52058,95,46,162,31.23
52059,95,97,121,31.87
52060,95,97,120,32.22
52061,95,43,144,34.85
52062,95,43,148,36.77
52063,95,77,160,40.15
52064,95,40,135,44.35
52065,95,46,169,39.55
52066,95,97,122,31.44
52067,95,77,160,39.99
52068,95,43,148,37.16
52069,95,46,161,35.09
52070,95,40,134,39.65
52071,95,77,150,40.61
52072,95,46,161,39.24
52073,95,46,162,35.42
52074,95,43,148,36.27
52075,95,71,133,41.61
52076,95,97,122,37.1
52077,95,46,169,39.59
52078,95,43,148,32.25
52079,95,43,148,39.98
52080,95,97,121,44.14
52081,95,46,168,43.83
52082,95,71,125,37.82
